month;id;name;type;data_status;unique_users;net_reach;unique_clients;visits;impressions;impressions_at_percent;usetime_seconds;usetime_formatted;impressions_per_visits
2021-11-01;1;"austria.com/plus";adnetwork;OK;4521170;66.684;11237946;68130204;264337404;91.12;262;04:22;3.88
2021-11-01;177;"bvz.at";service;OK;199285;2.939;293854;650974;2016143;93.17;150;02:30;3.10
2021-11-01;146;"tvheute.at - das TV-Magazin";service;OK;536709;7.916;811343;3850110;15024474;93.96;171;02:51;3.90
2021-11-01;126;"tt.com";service;OK;1330851;19.629;2605158;12509840;35660294;88.39;258;04:18;2.85
2021-11-01;123;"regionaljobs.at";service;OK;47652;0.703;132992;441596;696106;26.72;152;02:32;1.58
2021-11-01;122;"tips.at";service;OK;501752;7.4;708693;1329634;2231920;79.40;196;03:16;1.68
2021-11-01;81;"sn.at - Salzburger Nachrichten";service;OK;1228645;18.122;2145109;5163520;32010228;87.42;196;03:16;6.20
2021-11-01;80;"salzburg24.at";service;OK;891594;13.15;1455580;7290953;26140343;93.12;251;04:11;3.59
2021-11-01;64;"nachrichten.at - Nachrichten.at";service;OK;1738303;25.639;2698905;12045113;33631773;94.46;256;04:16;2.79
2021-11-01;54;"noen.at - NÖN";service;OK;1346200;19.855;1843705;6069566;23468855;96.80;162;02:42;3.87
2021-11-01;4;"vol.at - VORARLBERG ONLINE";service;OK;1048121;15.459;2022657;13942750;55237749;90.66;333;05:33;3.96
2021-11-01;3;"vienna.at - VIENNA ONLINE";service;OK;1535307;22.645;2345076;5460321;9961750;88.01;180;03:00;1.82
2021-11-01;2;"Goldbach Audience";adnetwork;OK;4204235;62.009;10872682;56862968;178613164;89.35;249;04:09;3.14
2021-11-01;187;"drei.at";service;OK;837548;12.353;1170081;6563810;20070763;97.02;379;06:19;3.06
2021-11-01;78;"tvnow.at";service;OK;171121;2.524;221938;1201860;3188095;98.54;541;09:01;2.65
2021-11-01;76;"vip.de";service;OK;226074;3.334;288961;827844;2377176;99.81;178;02:58;2.87
2021-11-01;75;"rtl.de";service;OK;15772;0.233;13194;16748;18810;99.29;87;01:27;1.12
2021-11-01;74;"kochbar.de";service;OK;84738;1.25;85288;100794;207185;99.80;99;01:39;2.06
2021-11-01;40;"kronehit.at";service;OK;191036;2.818;336986;1062957;2140641;89.07;256;04:16;2.01
