month;id;name;type;data_status;unique_users;net_reach;unique_clients;visits;impressions;impressions_at_percent;usetime_seconds;usetime_formatted;impressions_per_visits
2021-11-01;2;"ausschreibung.at - Ausschreibungen für die Bauwirtschaft";service;OK;6053;0.089;13266;31727;124990;90.94;256;04:16;3.94
2021-11-01;3;"vienna.at - VIENNA ONLINE";service;OK;1535307;22.645;2345076;5460321;9961750;88.01;180;03:00;1.82
2021-11-01;4;"vol.at - VORARLBERG ONLINE";service;OK;1048121;15.459;2022657;13942750;55237749;90.66;333;05:33;3.96
2021-11-01;7;"automobile.at";service;OK;56938;0.84;105013;131627;494811;71.85;186;03:06;3.76
2021-11-01;8;"bdb.at - BAUDATENBANK.AT - Partner der Bauwirtschaft";service;OK;9663;0.143;19001;24523;42707;79.78;140;02:20;1.74
2021-11-01;9;"cineplexx.at";service;OK;343159;5.061;490350;870789;3079056;92.06;231;03:51;3.54
2021-11-01;13;"gastronews.wien - Gastro News Wien";service;OK;68776;1.014;86493;114866;195269;83.53;171;02:51;1.70
2021-11-01;14;"derstandard.at - derStandard.at";service;OK;3212139;47.377;7726090;47794415;185002023;90.13;429;07:09;3.87
2021-11-01;18;"elektro.at ";service;OK;6360;0.094;21066;32633;50861;17.27;161;02:41;1.56
2021-11-01;19;"falstaff.at";service;OK;279750;4.126;517744;795880;2804431;70.15;153;02:33;3.52
2021-11-01;20;"falter.at ";service;OK;309698;4.568;528111;966081;2852942;86.97;216;03:36;2.95
2021-11-01;23;"feratel Panoramakameras";service;OK;434528;6.409;3743861;11054882;45418012;13.60;160;02:40;4.11
2021-11-01;24;"finanzen.at";service;OK;314208;4.634;445953;1695126;5419033;88.34;260;04:20;3.20
2021-11-01;25;"finanzen.net - Finanzen AT";service;OK;65820;0.971;86087;317983;660586;95.76;241;04:01;2.08
2021-11-01;27;"fondsprofessionell.at - FONDS professionell";service;OK;31620;0.466;51327;110340;354171;79.10;229;03:49;3.21
2021-11-01;28;"gutekueche.at";service;OK;2361491;34.83;8788143;17289696;32002694;42.12;191;03:11;1.85
2021-11-01;29;"gmx.at - GMX.at";service;OK;2274514;33.547;3164001;72190529;355226341;96.86;367;06:07;4.92
2021-11-01;30;"gmx.net - GMX.at";service;OK;1215587;17.929;1634004;13961928;155182053;95.77;458;07:38;11.11
2021-11-01;32;"gofeminin.de - gofeminin.at";service;OK;0;0;0;8;12;100.00;9;00:09;1.50
2021-11-01;34;"heute.at";service;OK;3803282;56.096;8933968;45188926;141405207;87.95;222;03:42;3.13
2021-11-01;37;"industriemagazin.at - Das österreichische Industriemagazin";service;OK;16734;0.247;43833;58970;103161;68.43;146;02:26;1.75
2021-11-01;38;"kosmo.at";service;OK;209994;3.097;464299;741434;1026676;59.54;162;02:42;1.38
2021-11-01;40;"kronehit.at";service;OK;191036;2.818;336986;1062957;2140641;89.07;256;04:16;2.01
2021-11-01;42;"netdoktor.at";service;OK;666379;9.829;1026973;1714779;2972908;95.77;164;02:44;1.73
2021-11-01;46;"autorevue.at";service;OK;161111;2.376;357678;436770;573737;42.95;132;02:12;1.31
2021-11-01;47;"gusto.at";service;OK;312130;4.604;441910;661167;1134783;73.42;176;02:56;1.72
2021-11-01;48;"news.at";service;OK;404231;5.962;677868;1245081;18610777;93.40;223;03:43;14.95
2021-11-01;49;"trend.at";service;OK;129547;1.911;219882;288294;380774;65.21;153;02:33;1.32
2021-11-01;50;"tv-media.at";service;NO_DATA;;;;;;;;;
2021-11-01;51;"woman.at ";service;OK;348703;5.143;705701;1003196;3765400;68.09;114;01:54;3.75
2021-11-01;54;"noen.at - NÖN";service;OK;1346200;19.855;1843705;6069566;23468855;96.80;162;02:42;3.87
2021-11-01;57;"oe24.at";service;OK;2663108;39.279;5116838;24047454;140934093;92.41;237;03:57;5.86
2021-11-01;58;"wetter.at";service;OK;415716;6.132;611195;1448604;28137394;87.86;127;02:07;19.42
